id,name,category,amount,signup_date
2363,Customer 2363,North,10,2024-01-15
2364,Customer 2364,EAST,-999999,2024-01-15
2365,Customer 2365,unknown,N/A,2024-01-15
2366,  Customer 2366  ,east,20,31/02/2024
2367,Customer 2367,unknown,20,2024-01-15
2368,Customer 2368,east,N/A,2024-01-15
2369,Customer 2369,North,20,2024-01-15
2370,Customer 2370,North,10,2024-01-15
2371,Customer 2371,West,20,2024-01-15
2372,Customer 2372,east,-999999,2024-01-15
2373,Customer 2373,east,10,31/02/2024
2374,Customer 2374,West,"1,000",2024-01-15
2375,Customer 2375,North,N/A,2024-01-15
2376,Customer 2376,North,20,2024-01-15
2377,Customer 2377,EAST,20,2024-01-15
2378,Customer 2378,east,N/A,2024-01-15
2379,  Customer 2379  ,North,-999999,2024-01-15
2380,Customer 2380,North,-999999,31/02/2024
2381,Customer 2381,unknown,N/A,2024-01-15
2382,Customer 2382,South,-999999,2024-01-15
2383,Customer 2383,West,20,2024-01-15
2384,Customer 2384,EAST,"1,000",2024-01-15
2385,Customer 2385,east,"1,000",2024-01-15
2386,Customer 2386,North,10,2024-01-15
2387,Customer 2387,EAST,20,31/02/2024
2388,Customer 2388,east,20,2024-01-15
2389,Customer 2389,West,10,2024-01-15
2390,Customer 2390,West,20,2024-01-15
2391,Customer 2391,South,"1,000",2024-01-15
2392,  Customer 2392  ,EAST,20,2024-01-15
2393,Customer 2393,West,20,2024-01-15
2394,Customer 2394,South,N/A,31/02/2024
2395,Customer 2395,South,20,2024-01-15
2396,Customer 2396,unknown,"1,000",2024-01-15
2397,Customer 2397,South,10,2024-01-15
2398,Customer 2398,West,10,2024-01-15
2399,Customer 2399,east,N/A,2024-01-15
2400,Customer 2400,North,N/A,2024-01-15
2401,Customer 2401,unknown,20,31/02/2024
2402,Customer 2402,North,10,2024-01-15
2403,Customer 2403,unknown,-999999,2024-01-15
2404,Customer 2404,unknown,-999999,2024-01-15
2405,  Customer 2405  ,east,-999999,2024-01-15
2406,Customer 2406,EAST,20,2024-01-15
2407,Customer 2407,east,-999999,2024-01-15
2408,Customer 2408,east,-999999,31/02/2024
2409,Customer 2409,EAST,N/A,2024-01-15
2410,Customer 2410,east,20,2024-01-15
2411,Customer 2411,east,10,2024-01-15
2412,Customer 2412,unknown,20,2024-01-15
2413,Customer 2413,EAST,10,2024-01-15
2414,Customer 2414,North,10,2024-01-15
2415,Customer 2415,West,10,31/02/2024
2416,Customer 2416,North,-999999,2024-01-15
2417,Customer 2417,South,20,2024-01-15
2418,  Customer 2418  ,unknown,-999999,2024-01-15
2419,Customer 2419,EAST,"1,000",2024-01-15
2420,Customer 2420,West,20,2024-01-15
2421,Customer 2421,east,"1,000",2024-01-15
2422,Customer 2422,unknown,20,31/02/2024
2423,Customer 2423,South,20,2024-01-15
2424,Customer 2424,east,10,2024-01-15
2425,Customer 2425,North,N/A,2024-01-15
2426,Customer 2426,West,10,2024-01-15
2427,Customer 2427,South,20,2024-01-15
2428,Customer 2428,West,N/A,2024-01-15
2429,Customer 2429,EAST,"1,000",31/02/2024
2430,Customer 2430,EAST,10,2024-01-15
2431,  Customer 2431  ,east,"1,000",2024-01-15
2432,Customer 2432,South,20,2024-01-15
2433,Customer 2433,North,"1,000",2024-01-15
2434,Customer 2434,South,N/A,2024-01-15
2435,Customer 2435,West,-999999,2024-01-15
2436,Customer 2436,EAST,10,31/02/2024
2437,Customer 2437,South,-999999,2024-01-15
2438,Customer 2438,North,10,2024-01-15
2439,Customer 2439,east,N/A,2024-01-15
2440,Customer 2440,east,-999999,2024-01-15
2441,Customer 2441,east,"1,000",2024-01-15
2442,Customer 2442,West,-999999,2024-01-15
2443,Customer 2443,West,"1,000",31/02/2024
2444,  Customer 2444  ,South,10,2024-01-15
2445,Customer 2445,east,-999999,2024-01-15
2446,Customer 2446,unknown,"1,000",2024-01-15
2447,Customer 2447,east,-999999,2024-01-15
2448,Customer 2448,EAST,10,2024-01-15
2449,Customer 2449,North,N/A,2024-01-15
2450,Customer 2450,east,20,31/02/2024
2451,Customer 2451,unknown,-999999,2024-01-15
2452,Customer 2452,South,20,2024-01-15
2453,Customer 2453,unknown,N/A,2024-01-15
2454,Customer 2454,West,"1,000",2024-01-15
2455,Customer 2455,South,10,2024-01-15
2456,Customer 2456,east,"1,000",2024-01-15
2457,  Customer 2457  ,unknown,10,31/02/2024
2458,Customer 2458,east,10,2024-01-15
2459,Customer 2459,North,"1,000",2024-01-15
2460,Customer 2460,unknown,20,2024-01-15
2461,Customer 2461,EAST,"1,000",2024-01-15
2462,Customer 2462,South,"1,000",2024-01-15
2463,Customer 2463,EAST,-999999,2024-01-15
2464,Customer 2464,South,10,31/02/2024
2465,Customer 2465,east,-999999,2024-01-15
2466,Customer 2466,east,"1,000",2024-01-15
2467,Customer 2467,North,-999999,2024-01-15
2468,Customer 2468,EAST,"1,000",2024-01-15
2469,Customer 2469,unknown,20,2024-01-15
2470,  Customer 2470  ,South,"1,000",2024-01-15
2471,Customer 2471,EAST,-999999,31/02/2024
2472,Customer 2472,West,10,2024-01-15
2473,Customer 2473,West,N/A,2024-01-15
2474,Customer 2474,South,"1,000",2024-01-15
2475,Customer 2475,unknown,10,2024-01-15
2476,Customer 2476,South,20,2024-01-15
2477,Customer 2477,east,10,2024-01-15
2478,Customer 2478,South,20,31/02/2024
2479,Customer 2479,West,"1,000",2024-01-15
2480,Customer 2480,West,-999999,2024-01-15
2481,Customer 2481,South,-999999,2024-01-15
2482,Customer 2482,North,20,2024-01-15
2483,  Customer 2483  ,West,20,2024-01-15
2484,Customer 2484,North,"1,000",2024-01-15
2485,Customer 2485,West,20,31/02/2024
2486,Customer 2486,North,10,2024-01-15
2487,Customer 2487,West,20,2024-01-15
2488,Customer 2488,South,N/A,2024-01-15
2489,Customer 2489,east,N/A,2024-01-15
2490,Customer 2490,North,20,2024-01-15
2491,Customer 2491,EAST,N/A,2024-01-15
2492,Customer 2492,West,N/A,31/02/2024
2493,Customer 2493,West,10,2024-01-15
2494,Customer 2494,unknown,10,2024-01-15
2495,Customer 2495,North,-999999,2024-01-15
2496,  Customer 2496  ,east,N/A,2024-01-15
2497,Customer 2497,unknown,N/A,2024-01-15
2498,Customer 2498,east,-999999,2024-01-15
2499,Customer 2499,EAST,-999999,31/02/2024
2499,Customer 2500,unknown,N/A,2024-01-15
2501,Customer 2501,West,10,2024-01-15
2502,Customer 2502,unknown,10,2024-01-15
2503,Customer 2503,EAST,10,2024-01-15
2504,Customer 2504,South,10,2024-01-15
2505,Customer 2505,unknown,10,2024-01-15
2506,Customer 2506,South,10,31/02/2024
2507,Customer 2507,North,-999999,2024-01-15
2508,Customer 2508,east,20,2024-01-15
2509,  Customer 2509  ,east,20,2024-01-15
2510,Customer 2510,EAST,N/A,2024-01-15
2511,Customer 2511,unknown,-999999,2024-01-15
2512,Customer 2512,West,"1,000",2024-01-15
2513,Customer 2513,South,"1,000",31/02/2024
2514,Customer 2514,EAST,-999999,2024-01-15
2515,Customer 2515,unknown,10,2024-01-15
2516,Customer 2516,North,10,2024-01-15
2517,Customer 2517,unknown,N/A,2024-01-15
2518,Customer 2518,EAST,"1,000",2024-01-15
2519,Customer 2519,unknown,20,2024-01-15
2520,Customer 2520,EAST,N/A,31/02/2024
2521,Customer 2521,unknown,20,2024-01-15
2522,  Customer 2522  ,unknown,"1,000",2024-01-15
2523,Customer 2523,EAST,-999999,2024-01-15
2524,Customer 2524,South,-999999,2024-01-15
2525,Customer 2525,EAST,20,2024-01-15
2526,Customer 2526,east,10,2024-01-15
2527,Customer 2527,EAST,N/A,31/02/2024
2528,Customer 2528,east,-999999,2024-01-15
2529,Customer 2529,West,10,2024-01-15
2530,Customer 2530,South,10,2024-01-15
2531,Customer 2531,EAST,-999999,2024-01-15
2532,Customer 2532,EAST,20,2024-01-15
2533,Customer 2533,unknown,10,2024-01-15
2534,Customer 2534,unknown,20,31/02/2024
2535,  Customer 2535  ,EAST,-999999,2024-01-15
2536,Customer 2536,West,N/A,2024-01-15
2537,Customer 2537,North,20,2024-01-15
2538,Customer 2538,unknown,"1,000",2024-01-15
2539,Customer 2539,North,20,2024-01-15
2540,Customer 2540,South,"1,000",2024-01-15
2541,Customer 2541,West,"1,000",31/02/2024
2542,Customer 2542,unknown,-999999,2024-01-15
2543,Customer 2543,east,N/A,2024-01-15
2544,Customer 2544,South,-999999,2024-01-15
2545,Customer 2545,unknown,10,2024-01-15
2546,Customer 2546,EAST,-999999,2024-01-15
2547,Customer 2547,east,"1,000",2024-01-15
2548,  Customer 2548  ,unknown,-999999,31/02/2024
2549,Customer 2549,South,N/A,2024-01-15
2550,Customer 2550,South,N/A,2024-01-15
2551,Customer 2551,West,-999999,2024-01-15
2552,Customer 2552,east,-999999,2024-01-15
2553,Customer 2553,EAST,"1,000",2024-01-15
2554,Customer 2554,east,N/A,2024-01-15
2555,Customer 2555,North,-999999,31/02/2024
2556,Customer 2556,east,10,2024-01-15
2557,Customer 2557,unknown,-999999,2024-01-15
2558,Customer 2558,West,N/A,2024-01-15
2559,Customer 2559,West,20,2024-01-15
2560,Customer 2560,South,N/A,2024-01-15
2561,  Customer 2561  ,South,20,2024-01-15
2562,Customer 2562,unknown,N/A,31/02/2024
2563,Customer 2563,EAST,20,2024-01-15
2564,Customer 2564,unknown,10,2024-01-15
2565,Customer 2565,EAST,-999999,2024-01-15
2566,Customer 2566,South,20,2024-01-15
2567,Customer 2567,North,10,2024-01-15
2568,Customer 2568,EAST,20,2024-01-15
2569,Customer 2569,unknown,"1,000",31/02/2024
2570,Customer 2570,South,-999999,2024-01-15
2571,Customer 2571,West,N/A,2024-01-15
2572,Customer 2572,east,-999999,2024-01-15
2573,Customer 2573,east,10,2024-01-15
2574,  Customer 2574  ,North,20,2024-01-15
2575,Customer 2575,east,-999999,2024-01-15
2576,Customer 2576,unknown,N/A,31/02/2024
2577,Customer 2577,West,-999999,2024-01-15
2578,Customer 2578,unknown,10,2024-01-15
2579,Customer 2579,North,20,2024-01-15
2580,Customer 2580,West,20,2024-01-15
2581,Customer 2581,EAST,-999999,2024-01-15
2582,Customer 2582,North,10,2024-01-15
2583,Customer 2583,unknown,N/A,31/02/2024
2584,Customer 2584,east,N/A,2024-01-15
2585,Customer 2585,east,10,2024-01-15
2586,Customer 2586,North,-999999,2024-01-15
2587,  Customer 2587  ,east,N/A,2024-01-15
2588,Customer 2588,unknown,"1,000",2024-01-15
2589,Customer 2589,east,20,2024-01-15
2590,Customer 2590,South,N/A,31/02/2024
2591,Customer 2591,West,N/A,2024-01-15
2592,Customer 2592,West,N/A,2024-01-15
2593,Customer 2593,unknown,10,2024-01-15
2594,Customer 2594,South,10,2024-01-15
2595,Customer 2595,EAST,20,2024-01-15
2596,Customer 2596,east,N/A,2024-01-15
2597,Customer 2597,South,-999999,31/02/2024
2598,Customer 2598,North,N/A,2024-01-15
2599,Customer 2599,North,N/A,2024-01-15
2600,  Customer 2600  ,unknown,"1,000",2024-01-15
2601,Customer 2601,West,"1,000",2024-01-15
2602,Customer 2602,EAST,10,2024-01-15
2603,Customer 2603,EAST,"1,000",2024-01-15
2604,Customer 2604,West,10,31/02/2024
2605,Customer 2605,EAST,"1,000",2024-01-15
2606,Customer 2606,North,10,2024-01-15
2607,Customer 2607,West,"1,000",2024-01-15
2608,Customer 2608,EAST,10,2024-01-15
2609,Customer 2609,EAST,10,2024-01-15
2610,Customer 2610,east,20,2024-01-15
2611,Customer 2611,North,"1,000",31/02/2024
2612,Customer 2612,EAST,-999999,2024-01-15
2613,  Customer 2613  ,east,"1,000",2024-01-15
2614,Customer 2614,North,20,2024-01-15
2615,Customer 2615,EAST,20,2024-01-15
2616,Customer 2616,east,-999999,2024-01-15
2617,Customer 2617,unknown,-999999,2024-01-15
2618,Customer 2618,North,"1,000",31/02/2024
2619,Customer 2619,EAST,-999999,2024-01-15
2620,Customer 2620,West,"1,000",2024-01-15
2621,Customer 2621,North,N/A,2024-01-15
2622,Customer 2622,EAST,10,2024-01-15
2623,Customer 2623,east,20,2024-01-15
2624,Customer 2624,North,20,2024-01-15
2625,Customer 2625,east,-999999,31/02/2024
2626,  Customer 2626  ,West,10,2024-01-15
2627,Customer 2627,east,"1,000",2024-01-15
2628,Customer 2628,South,10,2024-01-15
2629,Customer 2629,east,"1,000",2024-01-15
2630,Customer 2630,South,20,2024-01-15
2631,Customer 2631,North,N/A,2024-01-15
2632,Customer 2632,unknown,20,31/02/2024
2633,Customer 2633,West,N/A,2024-01-15
2634,Customer 2634,North,"1,000",2024-01-15
2635,Customer 2635,West,-999999,2024-01-15
2636,Customer 2636,West,-999999,2024-01-15
2637,Customer 2637,EAST,-999999,2024-01-15
2638,Customer 2638,West,N/A,2024-01-15
2639,  Customer 2639  ,EAST,"1,000",31/02/2024
2640,Customer 2640,unknown,20,2024-01-15
2641,Customer 2641,North,20,2024-01-15
2642,Customer 2642,east,20,2024-01-15
2643,Customer 2643,unknown,20,2024-01-15
2644,Customer 2644,South,20,2024-01-15
2645,Customer 2645,unknown,20,2024-01-15
2646,Customer 2646,EAST,20,31/02/2024
2647,Customer 2647,North,20,2024-01-15
2648,Customer 2648,West,-999999,2024-01-15
2649,Customer 2649,EAST,"1,000",2024-01-15
2650,Customer 2650,West,-999999,2024-01-15
2651,Customer 2651,West,-999999,2024-01-15
2652,  Customer 2652  ,unknown,"1,000",2024-01-15
2653,Customer 2653,EAST,-999999,31/02/2024
2654,Customer 2654,EAST,N/A,2024-01-15
2655,Customer 2655,unknown,20,2024-01-15
2656,Customer 2656,EAST,20,2024-01-15
2657,Customer 2657,east,10,2024-01-15
2658,Customer 2658,South,"1,000",2024-01-15
2659,Customer 2659,South,-999999,2024-01-15
2660,Customer 2660,EAST,20,31/02/2024
2661,Customer 2661,unknown,-999999,2024-01-15
2662,Customer 2662,east,10,2024-01-15
2663,Customer 2663,unknown,20,2024-01-15
2664,Customer 2664,east,20,2024-01-15
2665,  Customer 2665  ,unknown,"1,000",2024-01-15
2666,Customer 2666,EAST,"1,000",2024-01-15
2667,Customer 2667,South,N/A,31/02/2024
2668,Customer 2668,unknown,"1,000",2024-01-15
2669,Customer 2669,unknown,10,2024-01-15
2670,Customer 2670,EAST,"1,000",2024-01-15
2671,Customer 2671,North,10,2024-01-15
2672,Customer 2672,North,10,2024-01-15
2673,Customer 2673,North,10,2024-01-15
2674,Customer 2674,West,20,31/02/2024
2675,Customer 2675,North,N/A,2024-01-15
2676,Customer 2676,EAST,20,2024-01-15
2677,Customer 2677,unknown,N/A,2024-01-15
2678,  Customer 2678  ,unknown,N/A,2024-01-15
2679,Customer 2679,South,N/A,2024-01-15
2680,Customer 2680,EAST,20,2024-01-15
2681,Customer 2681,east,10,31/02/2024
2682,Customer 2682,EAST,10,2024-01-15
2683,Customer 2683,east,-999999,2024-01-15
2684,Customer 2684,North,"1,000",2024-01-15
2685,Customer 2685,unknown,10,2024-01-15
2686,Customer 2686,South,10,2024-01-15
2687,Customer 2687,West,-999999,2024-01-15
2688,Customer 2688,South,20,31/02/2024
2689,Customer 2689,unknown,10,2024-01-15
2690,Customer 2690,EAST,20,2024-01-15
2691,  Customer 2691  ,North,"1,000",2024-01-15
2692,Customer 2692,unknown,N/A,2024-01-15
2693,Customer 2693,east,"1,000",2024-01-15
2694,Customer 2694,South,N/A,2024-01-15
2695,Customer 2695,North,-999999,31/02/2024
2696,Customer 2696,east,10,2024-01-15
2697,Customer 2697,North,20,2024-01-15
2698,Customer 2698,east,"1,000",2024-01-15
2699,Customer 2699,South,10,2024-01-15
2700,Customer 2700,North,N/A,2024-01-15
2701,Customer 2701,east,20,2024-01-15
2702,Customer 2702,EAST,"1,000",31/02/2024
2703,Customer 2703,South,-999999,2024-01-15
2704,  Customer 2704  ,South,10,2024-01-15
2705,Customer 2705,North,N/A,2024-01-15
2706,Customer 2706,South,20,2024-01-15
2707,Customer 2707,South,20,2024-01-15
2708,Customer 2708,West,"1,000",2024-01-15
2709,Customer 2709,North,-999999,31/02/2024
2710,Customer 2710,South,10,2024-01-15
2711,Customer 2711,east,"1,000",2024-01-15
2712,Customer 2712,east,20,2024-01-15
2713,Customer 2713,North,10,2024-01-15
2714,Customer 2714,South,N/A,2024-01-15
2715,Customer 2715,east,-999999,2024-01-15
2716,Customer 2716,South,"1,000",31/02/2024
2717,  Customer 2717  ,South,N/A,2024-01-15
2718,Customer 2718,West,N/A,2024-01-15
2719,Customer 2719,east,10,2024-01-15
2720,Customer 2720,North,"1,000",2024-01-15
2721,Customer 2721,EAST,20,2024-01-15
2722,Customer 2722,unknown,-999999,2024-01-15
2723,Customer 2723,North,10,31/02/2024
2724,Customer 2724,EAST,-999999,2024-01-15
2725,Customer 2725,east,10,2024-01-15
2726,Customer 2726,EAST,-999999,2024-01-15
2727,Customer 2727,South,N/A,2024-01-15
2728,Customer 2728,EAST,20,2024-01-15
2729,Customer 2729,South,"1,000",2024-01-15
2730,  Customer 2730  ,unknown,"1,000",31/02/2024
2731,Customer 2731,unknown,"1,000",2024-01-15
2732,Customer 2732,South,20,2024-01-15
2733,Customer 2733,unknown,-999999,2024-01-15
2734,Customer 2734,unknown,20,2024-01-15
2735,Customer 2735,EAST,N/A,2024-01-15
2736,Customer 2736,North,20,2024-01-15
2737,Customer 2737,North,20,31/02/2024
2738,Customer 2738,North,N/A,2024-01-15
2739,Customer 2739,South,10,2024-01-15
2740,Customer 2740,east,-999999,2024-01-15
2741,Customer 2741,EAST,-999999,2024-01-15
2742,Customer 2742,EAST,-999999,2024-01-15
2743,  Customer 2743  ,unknown,"1,000",2024-01-15
2744,Customer 2744,unknown,"1,000",31/02/2024
2745,Customer 2745,east,-999999,2024-01-15
2746,Customer 2746,South,10,2024-01-15
2747,Customer 2747,South,N/A,2024-01-15
2748,Customer 2748,unknown,"1,000",2024-01-15
2749,Customer 2749,EAST,10,2024-01-15
2750,Customer 2750,east,20,2024-01-15
2751,Customer 2751,North,10,31/02/2024
2752,Customer 2752,South,20,2024-01-15
2753,Customer 2753,South,-999999,2024-01-15
2754,Customer 2754,east,N/A,2024-01-15
2755,Customer 2755,South,N/A,2024-01-15
2756,  Customer 2756  ,unknown,10,2024-01-15
2757,Customer 2757,West,20,2024-01-15
2758,Customer 2758,east,N/A,31/02/2024
2759,Customer 2759,unknown,20,2024-01-15
2760,Customer 2760,North,10,2024-01-15
2761,Customer 2761,unknown,N/A,2024-01-15
2762,Customer 2762,unknown,20,2024-01-15
2763,Customer 2763,EAST,"1,000",2024-01-15
2764,Customer 2764,EAST,-999999,2024-01-15
2765,Customer 2765,South,10,31/02/2024
2766,Customer 2766,east,"1,000",2024-01-15
2767,Customer 2767,North,10,2024-01-15
2768,Customer 2768,South,20,2024-01-15
2769,  Customer 2769  ,EAST,20,2024-01-15
2770,Customer 2770,unknown,20,2024-01-15
2771,Customer 2771,EAST,-999999,2024-01-15
2772,Customer 2772,east,"1,000",31/02/2024
2773,Customer 2773,North,10,2024-01-15
2774,Customer 2774,EAST,"1,000",2024-01-15
2775,Customer 2775,east,"1,000",2024-01-15
2776,Customer 2776,unknown,N/A,2024-01-15
2777,Customer 2777,unknown,N/A,2024-01-15
2778,Customer 2778,east,N/A,2024-01-15
2779,Customer 2779,North,10,31/02/2024
2780,Customer 2780,east,-999999,2024-01-15
2781,Customer 2781,North,N/A,2024-01-15
2782,  Customer 2782  ,EAST,"1,000",2024-01-15
2783,Customer 2783,North,N/A,2024-01-15
2784,Customer 2784,east,-999999,2024-01-15
2785,Customer 2785,unknown,-999999,2024-01-15
2786,Customer 2786,West,-999999,31/02/2024
2787,Customer 2787,West,"1,000",2024-01-15
2788,Customer 2788,South,20,2024-01-15
2789,Customer 2789,North,"1,000",2024-01-15
2790,Customer 2790,east,-999999,2024-01-15
2791,Customer 2791,east,20,2024-01-15
2792,Customer 2792,unknown,20,2024-01-15
2793,Customer 2793,West,10,31/02/2024
2794,Customer 2794,EAST,20,2024-01-15
2795,  Customer 2795  ,West,-999999,2024-01-15
2796,Customer 2796,West,N/A,2024-01-15
2797,Customer 2797,North,20,2024-01-15
2798,Customer 2798,South,N/A,2024-01-15
2799,Customer 2799,West,N/A,2024-01-15
2800,Customer 2800,EAST,20,31/02/2024
2801,Customer 2801,North,-999999,2024-01-15
2802,Customer 2802,east,20,2024-01-15
2803,Customer 2803,South,"1,000",2024-01-15
2804,Customer 2804,EAST,20,2024-01-15
2805,Customer 2805,EAST,10,2024-01-15
2806,Customer 2806,unknown,"1,000",2024-01-15
2807,Customer 2807,West,-999999,31/02/2024
2808,  Customer 2808  ,EAST,10,2024-01-15
2809,Customer 2809,unknown,10,2024-01-15
2810,Customer 2810,EAST,N/A,2024-01-15
2811,Customer 2811,North,-999999,2024-01-15
2812,Customer 2812,EAST,"1,000",2024-01-15
2813,Customer 2813,North,-999999,2024-01-15
2814,Customer 2814,West,N/A,31/02/2024
2815,Customer 2815,east,10,2024-01-15
2816,Customer 2816,east,N/A,2024-01-15
2817,Customer 2817,North,"1,000",2024-01-15
2818,Customer 2818,West,20,2024-01-15
2819,Customer 2819,South,10,2024-01-15
2820,Customer 2820,unknown,N/A,2024-01-15
2821,  Customer 2821  ,South,10,31/02/2024
2822,Customer 2822,unknown,N/A,2024-01-15
2823,Customer 2823,West,-999999,2024-01-15
2824,Customer 2824,North,20,2024-01-15
2825,Customer 2825,EAST,"1,000",2024-01-15
2826,Customer 2826,North,"1,000",2024-01-15
2827,Customer 2827,east,-999999,2024-01-15
2828,Customer 2828,EAST,20,31/02/2024
2829,Customer 2829,West,-999999,2024-01-15
2830,Customer 2830,unknown,N/A,2024-01-15
2831,Customer 2831,EAST,N/A,2024-01-15
2832,Customer 2832,North,"1,000",2024-01-15
2833,Customer 2833,South,"1,000",2024-01-15
2834,  Customer 2834  ,unknown,10,2024-01-15
2835,Customer 2835,South,10,31/02/2024
2836,Customer 2836,West,"1,000",2024-01-15
2837,Customer 2837,EAST,N/A,2024-01-15
2838,Customer 2838,South,"1,000",2024-01-15
2839,Customer 2839,unknown,20,2024-01-15
2840,Customer 2840,EAST,20,2024-01-15
2841,Customer 2841,North,10,2024-01-15
2842,Customer 2842,unknown,N/A,31/02/2024
2843,Customer 2843,unknown,N/A,2024-01-15
2844,Customer 2844,unknown,N/A,2024-01-15
2845,Customer 2845,east,N/A,2024-01-15
2846,Customer 2846,EAST,N/A,2024-01-15
2847,  Customer 2847  ,EAST,-999999,2024-01-15
2848,Customer 2848,east,-999999,2024-01-15
2849,Customer 2849,West,N/A,31/02/2024
2850,Customer 2850,South,-999999,2024-01-15
2851,Customer 2851,unknown,20,2024-01-15
2852,Customer 2852,east,-999999,2024-01-15
2853,Customer 2853,EAST,N/A,2024-01-15
2854,Customer 2854,EAST,"1,000",2024-01-15
2855,Customer 2855,North,"1,000",2024-01-15
2856,Customer 2856,West,N/A,31/02/2024
2857,Customer 2857,east,-999999,2024-01-15
2858,Customer 2858,South,-999999,2024-01-15
2859,Customer 2859,South,-999999,2024-01-15
2860,  Customer 2860  ,South,-999999,2024-01-15
2861,Customer 2861,east,20,2024-01-15
2862,Customer 2862,unknown,10,2024-01-15
2863,Customer 2863,West,"1,000",31/02/2024
2864,Customer 2864,east,"1,000",2024-01-15
2865,Customer 2865,EAST,20,2024-01-15
2866,Customer 2866,east,-999999,2024-01-15
2867,Customer 2867,South,N/A,2024-01-15
2868,Customer 2868,North,"1,000",2024-01-15
2869,Customer 2869,east,-999999,2024-01-15
2870,Customer 2870,east,10,31/02/2024
2871,Customer 2871,unknown,-999999,2024-01-15
2872,Customer 2872,EAST,-999999,2024-01-15
2873,  Customer 2873  ,EAST,10,2024-01-15
2874,Customer 2874,EAST,N/A,2024-01-15
2875,Customer 2875,South,"1,000",2024-01-15
2876,Customer 2876,South,N/A,2024-01-15
2877,Customer 2877,unknown,20,31/02/2024
2878,Customer 2878,North,-999999,2024-01-15
2879,Customer 2879,east,10,2024-01-15
2880,Customer 2880,EAST,20,2024-01-15
2881,Customer 2881,EAST,"1,000",2024-01-15
2882,Customer 2882,South,"1,000",2024-01-15
2883,Customer 2883,South,-999999,2024-01-15
2884,Customer 2884,South,10,31/02/2024
2885,Customer 2885,east,-999999,2024-01-15
2886,  Customer 2886  ,EAST,N/A,2024-01-15
2887,Customer 2887,North,N/A,2024-01-15
2888,Customer 2888,North,-999999,2024-01-15
2889,Customer 2889,North,20,2024-01-15
2890,Customer 2890,east,"1,000",2024-01-15
2891,Customer 2891,east,-999999,31/02/2024
2892,Customer 2892,east,20,2024-01-15
2893,Customer 2893,east,-999999,2024-01-15
2894,Customer 2894,east,-999999,2024-01-15
2895,Customer 2895,North,N/A,2024-01-15
2896,Customer 2896,North,N/A,2024-01-15
2897,Customer 2897,South,N/A,2024-01-15
2898,Customer 2898,North,"1,000",31/02/2024
2899,  Customer 2899  ,unknown,"1,000",2024-01-15
2900,Customer 2900,North,N/A,2024-01-15
2901,Customer 2901,east,N/A,2024-01-15
2902,Customer 2902,EAST,10,2024-01-15
2903,Customer 2903,east,-999999,2024-01-15
2904,Customer 2904,east,"1,000",2024-01-15
2905,Customer 2905,South,N/A,31/02/2024
2906,Customer 2906,North,-999999,2024-01-15
2907,Customer 2907,EAST,10,2024-01-15
2908,Customer 2908,east,-999999,2024-01-15
2909,Customer 2909,EAST,10,2024-01-15
2910,Customer 2910,South,20,2024-01-15
2911,Customer 2911,South,N/A,2024-01-15
2912,  Customer 2912  ,EAST,20,31/02/2024
2913,Customer 2913,east,20,2024-01-15
2914,Customer 2914,South,N/A,2024-01-15
2915,Customer 2915,West,20,2024-01-15
2916,Customer 2916,West,10,2024-01-15
2917,Customer 2917,east,-999999,2024-01-15
2918,Customer 2918,EAST,-999999,2024-01-15
2919,Customer 2919,east,-999999,31/02/2024
2920,Customer 2920,EAST,-999999,2024-01-15
2921,Customer 2921,South,10,2024-01-15
2922,Customer 2922,North,N/A,2024-01-15
2923,Customer 2923,North,N/A,2024-01-15
2924,Customer 2924,West,-999999,2024-01-15
2925,  Customer 2925  ,east,-999999,2024-01-15
2926,Customer 2926,South,20,31/02/2024
2927,Customer 2927,east,10,2024-01-15
2928,Customer 2928,EAST,-999999,2024-01-15
2929,Customer 2929,east,-999999,2024-01-15
2930,Customer 2930,West,-999999,2024-01-15
2931,Customer 2931,EAST,10,2024-01-15
2932,Customer 2932,east,"1,000",2024-01-15
2933,Customer 2933,unknown,"1,000",31/02/2024
2934,Customer 2934,unknown,10,2024-01-15
2935,Customer 2935,South,"1,000",2024-01-15
2936,Customer 2936,North,-999999,2024-01-15
2937,Customer 2937,EAST,20,2024-01-15
2938,  Customer 2938  ,EAST,10,2024-01-15
2939,Customer 2939,South,"1,000",2024-01-15
2940,Customer 2940,North,20,31/02/2024
2941,Customer 2941,unknown,"1,000",2024-01-15
2942,Customer 2942,North,"1,000",2024-01-15
2943,Customer 2943,North,10,2024-01-15
2944,Customer 2944,North,N/A,2024-01-15
2945,Customer 2945,West,"1,000",2024-01-15
2946,Customer 2946,EAST,N/A,2024-01-15
2947,Customer 2947,North,-999999,31/02/2024
2948,Customer 2948,unknown,-999999,2024-01-15
2949,Customer 2949,east,-999999,2024-01-15
2950,Customer 2950,EAST,-999999,2024-01-15
2951,  Customer 2951  ,West,-999999,2024-01-15
2952,Customer 2952,West,"1,000",2024-01-15
2953,Customer 2953,EAST,20,2024-01-15
2954,Customer 2954,EAST,"1,000",31/02/2024
2955,Customer 2955,North,-999999,2024-01-15
2956,Customer 2956,east,N/A,2024-01-15
2957,Customer 2957,east,20,2024-01-15
2958,Customer 2958,North,10,2024-01-15
2959,Customer 2959,unknown,20,2024-01-15
2960,Customer 2960,North,10,2024-01-15
2961,Customer 2961,east,N/A,31/02/2024
2962,Customer 2962,South,10,2024-01-15
